start_date;end_date;week_number
2021-12-27;2022-01-02;52
2022-01-03;2022-01-09;1
2022-01-10;2022-01-16;2
2022-01-17;2022-01-23;3
2022-01-24;2022-01-30;4
2022-01-31;2022-02-06;5
2022-02-07;2022-02-13;6
2022-02-14;2022-02-20;7
2022-02-21;2022-02-27;8
2022-02-28;2022-03-06;9
2022-03-07;2022-03-13;10
2022-03-14;2022-03-20;11
2022-03-21;2022-03-27;12
2022-03-28;2022-04-03;13
2022-04-04;2022-04-10;14
2022-04-11;2022-04-17;15
2022-04-18;2022-04-24;16
2022-04-25;2022-05-01;17
2022-05-02;2022-05-08;18
2022-05-09;2022-05-15;19
2022-05-16;2022-05-22;20
2022-05-23;2022-05-29;21
2022-05-30;2022-06-05;22
2022-06-06;2022-06-12;23
2022-06-13;2022-06-19;24
2022-06-20;2022-06-26;25
2022-06-27;2022-07-03;26
2022-07-04;2022-07-10;27
2022-07-11;2022-07-17;28
2022-07-18;2022-07-24;29
2022-07-25;2022-07-31;30
2022-08-01;2022-08-07;31
2022-08-08;2022-08-14;32
2022-08-15;2022-08-21;33
2022-08-22;2022-08-28;34
2022-08-29;2022-09-04;35
2022-09-05;2022-09-11;36
2022-09-12;2022-09-18;37
2022-09-19;2022-09-25;38
2022-09-26;2022-10-02;39
2022-10-03;2022-10-09;40
2022-10-10;2022-10-16;41
2022-10-17;2022-10-23;42
2022-10-24;2022-10-30;43
2022-10-31;2022-11-06;44
2022-11-07;2022-11-13;45
2022-11-14;2022-11-20;46
2022-11-21;2022-11-27;47
2022-11-28;2022-12-04;48
2022-12-05;2022-12-11;49
2022-12-12;2022-12-18;50
2022-12-19;2022-12-25;51
2022-12-26;2023-01-01;52
2023-01-02;2023-01-08;1
2023-01-09;2023-01-15;2
2023-01-16;2023-01-22;3
2023-01-23;2023-01-29;4
2023-01-30;2023-02-05;5
2023-02-06;2023-02-12;6
2023-02-13;2023-02-19;7
2023-02-20;2023-02-26;8
2023-02-27;2023-03-05;9
2023-03-06;2023-03-12;10
2023-03-13;2023-03-19;11
2023-03-20;2023-03-26;12
2023-03-27;2023-04-02;13
2023-04-03;2023-04-09;14
2023-04-10;2023-04-16;15
2023-04-17;2023-04-23;16
2023-04-24;2023-04-30;17
2023-05-01;2023-05-07;18
2023-05-08;2023-05-14;19
2023-05-15;2023-05-21;20
2023-05-22;2023-05-28;21
2023-05-29;2023-06-04;22
2023-06-05;2023-06-11;23
2023-06-12;2023-06-18;24
2023-06-19;2023-06-25;25
2023-06-26;2023-07-02;26
2023-07-03;2023-07-09;27
2023-07-10;2023-07-16;28
2023-07-17;2023-07-23;29
2023-07-24;2023-07-30;30
2023-07-31;2023-08-06;31
2023-08-07;2023-08-13;32
2023-08-14;2023-08-20;33
2023-08-21;2023-08-27;34
2023-08-28;2023-09-03;35
2023-09-04;2023-09-10;36
2023-09-11;2023-09-17;37
2023-09-18;2023-09-24;38
2023-09-25;2023-10-01;39
2023-10-02;2023-10-08;40
2023-10-09;2023-10-15;41
2023-10-16;2023-10-22;42
2023-10-23;2023-10-29;43
2023-10-30;2023-11-05;44
2023-11-06;2023-11-12;45
2023-11-13;2023-11-19;46
2023-11-20;2023-11-26;47
2023-11-27;2023-12-03;48
2023-12-04;2023-12-10;49
2023-12-11;2023-12-17;50
2023-12-18;2023-12-24;51
2023-12-25;2023-12-31;52
2024-01-01;2024-01-07;1
2024-01-08;2024-01-14;2
2024-01-15;2024-01-21;3
2024-01-22;2024-01-28;4
2024-01-29;2024-02-04;5
2024-02-05;2024-02-11;6
2024-02-12;2024-02-18;7
2024-02-19;2024-02-25;8
2024-02-26;2024-03-03;9
2024-03-04;2024-03-10;10
2024-03-11;2024-03-17;11
2024-03-18;2024-03-24;12
2024-03-25;2024-03-31;13
2024-04-01;2024-04-07;14
2024-04-08;2024-04-14;15
2024-04-15;2024-04-21;16
2024-04-22;2024-04-28;17
2024-04-29;2024-05-05;18
2024-05-06;2024-05-12;19
2024-05-13;2024-05-19;20
2024-05-20;2024-05-26;21
2024-05-27;2024-06-02;22
2024-06-03;2024-06-09;23
2024-06-10;2024-06-16;24
2024-06-17;2024-06-23;25
2024-06-24;2024-06-30;26
2024-07-01;2024-07-07;27
2024-07-08;2024-07-14;28
2024-07-15;2024-07-21;29
2024-07-22;2024-07-28;30
2024-07-29;2024-08-04;31
2024-08-05;2024-08-11;32
2024-08-12;2024-08-18;33
2024-08-19;2024-08-25;34
2024-08-26;2024-09-01;35
2024-09-02;2024-09-08;36
2024-09-09;2024-09-15;37
2024-09-16;2024-09-22;38
2024-09-23;2024-09-29;39
2024-09-30;2024-10-06;40
2024-10-07;2024-10-13;41
2024-10-14;2024-10-20;42
2024-10-21;2024-10-27;43
2024-10-28;2024-11-03;44
2024-11-04;2024-11-10;45
2024-11-11;2024-11-17;46
2024-11-18;2024-11-24;47
2024-11-25;2024-12-01;48
2024-12-02;2024-12-08;49
2024-12-09;2024-12-15;50
2024-12-16;2024-12-22;51
2024-12-23;2024-12-29;52
2024-12-30;2025-01-05;1
